Index,Stock,Stock Id,Weight
CAC Index,AC FP,AC,0.730585
CAC Index,ACA FP,ACA,1.214546
CAC Index,AI FP,AI,3.976744
CAC Index,AIR FP,AIR,5.187106
CAC Index,ATO FP,ATO,0.826578
CAC Index,BN FP,BN,3.574166
CAC Index,BNP FP,BNP,5.012436
CAC Index,CA FP,CA,0.800254
CAC Index,CAP FP,CAP,1.441938
CAC Index,CS FP,CS,3.740745
CAC Index,DG FP,DG,3.219001
CAC Index,DSY FP,DSY,1.37421
CAC Index,EI FP,EI,2.197046
CAC Index,EN FP,EN,0.729999
CAC Index,ENGI FP,ENGI,1.876764
CAC Index,FP FP,FP,11.600077
CAC Index,FR FP,FR,0.745719
CAC Index,FTI FP,FTI,0.984794
CAC Index,GLE FP,GLE,2.388582
CAC Index,KER FP,KER,2.876143
CAC Index,LR FP,LR,1.382991
CAC Index,MC FP,MC,6.991082
CAC Index,ML FP,ML,1.434144
CAC Index,MT NA,MT,1.469396
CAC Index,OR FP,OR,4.288807
CAC Index,ORA FP,ORA,2.264613
CAC Index,PUB FP,PUB,0.897937
CAC Index,RI FP,RI,2.293841
CAC Index,RMS FP,RMS,1.221659
CAC Index,RNO FP,RNO,1.173599
CAC Index,SAF FP,SAF,3.31621
CAC Index,SAN FP,SAN,7.087294
CAC Index,SGO FP,SGO,1.593595
CAC Index,STM FP,STM,0.888054
CAC Index,SU FP,SU,2.990796
CAC Index,SW FP,SW,0.677143
CAC Index,UG FP,UG,1.136978
CAC Index,URW NA,URW,1.99335
CAC Index,VIE FP,VIE,0.719267
CAC Index,VIV FP,VIV,1.681809
DAX Index,1COV GY,1COV,1.266877
DAX Index,ADS GY,ADS,3.858883
DAX Index,ALV GY,ALV,8.553533
DAX Index,BAS GY,BAS,7.343546
DAX Index,BAYN GY,BAYN,7.388509
DAX Index,BEI GY,BEI,0.979118
DAX Index,BMW GY,BMW,2.582967
DAX Index,CON GY,CON,1.66952
DAX Index,DAI GY,DAI,5.065697
DAX Index,DB1 GY,DB1,2.210597
DAX Index,DBK GY,DBK,1.988331
DAX Index,DPW GY,DPW,3.016356
DAX Index,DTE GY,DTE,4.630027
DAX Index,EOAN GY,EOAN,1.972453
DAX Index,FME GY,FME,1.934003
DAX Index,FRE GY,FRE,2.658411
DAX Index,HEI GY,HEI,1.023834
DAX Index,HEN3 GY,HEN3,1.80693
DAX Index,IFX GY,IFX,2.291847
DAX Index,LHA GY,LHA,1.026498
DAX Index,LINU GY,LINU,3.609026
DAX Index,MRK GY,MRK,1.172063
DAX Index,MUV2 GY,MUV2,2.919931
DAX Index,RWE GY,RWE,1.197931
DAX Index,SAP GY,SAP,10.351505
DAX Index,SIE GY,SIE,9.233121
DAX Index,TKA GY,TKA,1.107952
DAX Index,VNA GY,VNA,2.061739
DAX Index,VOW3 GY,VOW3,2.872682
DAX Index,WDI GY,WDI,2.206109
NKY Index,1332 JT,1332,0.113913
NKY Index,1333 JT,1333,0.064392
NKY Index,1605 JT,1605,0.088278
NKY Index,1721 JT,1721,0.515136
NKY Index,1801 JT,1801,0.16006
NKY Index,1802 JT,1802,0.166346
NKY Index,1803 JT,1803,0.160367
NKY Index,1808 JT,1808,0.045534
NKY Index,1812 JT,1812,0.127404
NKY Index,1925 JT,1925,0.519736
NKY Index,1928 JT,1928,0.265617
NKY Index,1963 JT,1963,0.402757
NKY Index,2002 JT,2002,0.385126
NKY Index,2269 JT,2269,0.235184
NKY Index,2282 JT,2282,0.323877
NKY Index,2432 JT,2432,0.091713
NKY Index,2501 JT,2501,0.07353
NKY Index,2502 JT,2502,0.758906
NKY Index,2503 JT,2503,0.451434
NKY Index,2531 JT,2531,0.252815
NKY Index,2768 JT,2768,0.006317
NKY Index,2801 JT,2801,1.034872
NKY Index,2802 JT,2802,0.300726
NKY Index,2871 JT,2871,0.232271
NKY Index,2914 JT,2914,0.455267
NKY Index,3086 JT,3086,0.13622
NKY Index,3099 JT,3099,0.215253
NKY Index,3101 JT,3101,0.029942
NKY Index,3103 JT,3103,0.011253
NKY Index,3105 JT,3105,0.208201
NKY Index,3289 JT,3289,0.122038
NKY Index,3382 JT,3382,0.780983
NKY Index,3401 JT,3401,0.066845
NKY Index,3402 JT,3402,0.131866
NKY Index,3405 JT,3405,0.262627
NKY Index,3407 JT,3407,0.2683
NKY Index,3436 JT,3436,0.025312
NKY Index,3861 JT,3861,0.128784
NKY Index,3863 JT,3863,0.032242
NKY Index,4004 JT,4004,0.096435
NKY Index,4005 JT,4005,0.102567
NKY Index,4021 JT,4021,0.922952
NKY Index,4042 JT,4042,0.134303
NKY Index,4043 JT,4043,0.095362
NKY Index,4061 JT,4061,0.122192
NKY Index,4063 JT,4063,1.537743
NKY Index,4151 JT,4151,0.330239
NKY Index,4183 JT,4183,0.088033
NKY Index,4188 JT,4188,0.08325
NKY Index,4208 JT,4208,0.046991
NKY Index,4272 JT,4272,0.207741
NKY Index,4324 JT,4324,0.815632
NKY Index,4452 JT,4452,1.39884
NKY Index,4502 JT,4502,0.749707
NKY Index,4503 JT,4503,1.522795
NKY Index,4506 JT,4506,0.397851
NKY Index,4507 JT,4507,1.13238
NKY Index,4519 JT,4519,1.120728
NKY Index,4523 JT,4523,1.705622
NKY Index,4543 JT,4543,2.066677
NKY Index,4568 JT,4568,0.756913
NKY Index,4578 JT,4578,0.876958
NKY Index,4689 JT,4689,0.024653
NKY Index,4704 JT,4704,1.105396
NKY Index,4755 JT,4755,0.134027
NKY Index,4901 JT,4901,0.787269
NKY Index,4902 JT,4902,0.18505
NKY Index,4911 JT,4911,1.330002
NKY Index,5002 JT,5002,0.375927
NKY Index,5020 JT,5020,0.133077
NKY Index,5101 JT,5101,0.188193
NKY Index,5108 JT,5108,0.658332
NKY Index,5201 JT,5201,0.146569
NKY Index,5202 JT,5202,0.019057
NKY Index,5214 JT,5214,0.16351
NKY Index,5232 JT,5232,0.074357
NKY Index,5233 JT,5233,0.05527
NKY Index,5301 JT,5301,0.34649
NKY Index,5332 JT,5332,0.366421
NKY Index,5333 JT,5333,0.286085
NKY Index,5401 JT,5401,0.036926
NKY Index,5406 JT,5406,0.015408
NKY Index,5411 JT,5411,0.040329
NKY Index,5413 JT,5413,0.026186
NKY Index,5541 JT,5541,0.064392
NKY Index,5631 JT,5631,0.08604
NKY Index,5703 JT,5703,0.039095
NKY Index,5706 JT,5706,0.050517
NKY Index,5707 JT,5707,0.069145
NKY Index,5711 JT,5711,0.051974
NKY Index,5713 JT,5713,0.308775
NKY Index,5714 JT,5714,0.110846
NKY Index,5715 JT,5715,0.026278
NKY Index,5801 JT,5801,0.057876
NKY Index,5802 JT,5802,0.275813
NKY Index,5803 JT,5803,0.08279
NKY Index,5901 JT,5901,0.363508
NKY Index,6098 JT,6098,1.739045
NKY Index,6103 JT,6103,0.194096
NKY Index,6113 JT,6113,0.185664
NKY Index,6178 JT,6178,0.206821
NKY Index,6301 JT,6301,0.532307
NKY Index,6302 JT,6302,0.125411
NKY Index,6305 JT,6305,0.582595
NKY Index,6326 JT,6326,0.29467
NKY Index,6361 JT,6361,0.120198
NKY Index,6366 JT,6366,0.142122
NKY Index,6367 JT,6367,2.339577
NKY Index,6471 JT,6471,0.200688
NKY Index,6472 JT,6472,0.071598
NKY Index,6473 JT,6473,0.254195
NKY Index,6479 JT,6479,0.319047
NKY Index,6501 JT,6501,0.118236
NKY Index,6503 JT,6503,0.239784
NKY Index,6504 JT,6504,0.140589
NKY Index,6506 JT,6506,0.521269
NKY Index,6674 JT,6674,0.086929
NKY Index,6701 JT,6701,0.047757
NKY Index,6702 JT,6702,0.124277
NKY Index,6703 JT,6703,0.022951
NKY Index,6724 JT,6724,0.597006
NKY Index,6752 JT,6752,0.204061
NKY Index,6758 JT,6758,1.060782
NKY Index,6762 JT,6762,1.944026
NKY Index,6770 JT,6770,0.452277
NKY Index,6773 JT,6773,0.017938
NKY Index,6841 JT,6841,0.370714
NKY Index,6857 JT,6857,0.740202
NKY Index,6902 JT,6902,0.91912
NKY Index,6952 JT,6952,0.288691
NKY Index,6954 JT,6954,3.308524
NKY Index,6971 JT,6971,2.085075
NKY Index,6976 JT,6976,0.394171
NKY Index,6988 JT,6988,1.315744
NKY Index,7003 JT,7003,0.031491
NKY Index,7004 JT,7004,0.014718
NKY Index,7011 JT,7011,0.066937
NKY Index,7012 JT,7012,0.049367
NKY Index,7013 JT,7013,0.066385
NKY Index,7186 JT,7186,0.087083
NKY Index,7201 JT,7201,0.162053
NKY Index,7202 JT,7202,0.137753
NKY Index,7203 JT,7203,1.083932
NKY Index,7205 JT,7205,0.19057
NKY Index,7211 JT,7211,0.012342
NKY Index,7261 JT,7261,0.04161
NKY Index,7267 JT,7267,1.056336
NKY Index,7269 JT,7269,1.005282
NKY Index,7270 JT,7270,0.532154
NKY Index,7272 JT,7272,0.490606
NKY Index,7731 JT,7731,0.328553
NKY Index,7733 JT,7733,0.687615
NKY Index,7735 JT,7735,0.203908
NKY Index,7751 JT,7751,0.829507
NKY Index,7752 JT,7752,0.18781
NKY Index,7762 JT,7762,0.115752
NKY Index,7911 JT,7911,0.139286
NKY Index,7912 JT,7912,0.203831
NKY Index,7951 JT,7951,0.924486
NKY Index,8001 JT,8001,0.321654
NKY Index,8002 JT,8002,0.159524
NKY Index,8015 JT,8015,0.657719
NKY Index,8028 JT,8028,1.819841
NKY Index,8031 JT,8031,0.310615
NKY Index,8035 JT,8035,2.383272
NKY Index,8053 JT,8053,0.292217
NKY Index,8058 JT,8058,0.543346
NKY Index,8233 JT,8233,0.146875
NKY Index,8252 JT,8252,0.436026
NKY Index,8253 JT,8253,0.284705
NKY Index,8267 JT,8267,0.418548
NKY Index,8303 JT,8303,0.028654
NKY Index,8304 JT,8304,0.062706
NKY Index,8306 JT,8306,0.11008
NKY Index,8308 JT,8308,0.009913
NKY Index,8309 JT,8309,0.072594
NKY Index,8316 JT,8316,0.070923
NKY Index,8331 JT,8331,0.120812
NKY Index,8354 JT,8354,0.097048
NKY Index,8355 JT,8355,0.158834
NKY Index,8411 JT,8411,0.030617
NKY Index,8601 JT,8601,0.106262
NKY Index,8604 JT,8604,0.084476
NKY Index,8628 JT,8628,0.183671
NKY Index,8630 JT,8630,0.187733
NKY Index,8725 JT,8725,0.17533
NKY Index,8729 JT,8729,0.077822
NKY Index,8750 JT,8750,0.036581
NKY Index,8766 JT,8766,0.435183
NKY Index,8795 JT,8795,0.057953
NKY Index,8801 JT,8801,0.416555
NKY Index,8802 JT,8802,0.299116
NKY Index,8804 JT,8804,0.10594
NKY Index,8830 JT,8830,0.628895
NKY Index,9001 JT,9001,0.1041
NKY Index,9005 JT,9005,0.159754
NKY Index,9007 JT,9007,0.206591
NKY Index,9008 JT,9008,0.192563
NKY Index,9009 JT,9009,0.307779
NKY Index,9020 JT,9020,0.16374
NKY Index,9021 JT,9021,0.122268
NKY Index,9022 JT,9022,0.367035
NKY Index,9062 JT,9062,0.114986
NKY Index,9064 JT,9064,0.53752
NKY Index,9101 JT,9101,0.032641
NKY Index,9104 JT,9104,0.051207
NKY Index,9107 JT,9107,0.035232
NKY Index,9202 JT,9202,0.061341
NKY Index,9301 JT,9301,0.225602
NKY Index,9412 JT,9412,0.008524
NKY Index,9432 JT,9432,0.158742
NKY Index,9433 JT,9433,2.882003
NKY Index,9437 JT,9437,0.046746
NKY Index,9501 JT,9501,0.008494
NKY Index,9502 JT,9502,0.026117
NKY Index,9503 JT,9503,0.026194
NKY Index,9531 JT,9531,0.085335
NKY Index,9532 JT,9532,0.067964
NKY Index,9602 JT,9602,0.054733
NKY Index,9613 JT,9613,1.203518
NKY Index,9681 JT,9681,0.076504
NKY Index,9735 JT,9735,1.419844
NKY Index,9766 JT,9766,0.676116
NKY Index,9983 JT,9983,8.985754
NKY Index,9984 JT,9984,5.25255
TPX Index,1301 JT,1301,0.00583
TPX Index,1332 JT,1332,0.035997
TPX Index,1333 JT,1333,0.034295
TPX Index,1352 JT,1352,0.00034
TPX Index,1376 JT,1376,0.002303
TPX Index,1377 JT,1377,0.026393
TPX Index,1379 JT,1379,0.008518
TPX Index,1384 JT,1384,0.000588
TPX Index,1413 JT,1413,0.003279
TPX Index,1414 JT,1414,0.037486
TPX Index,1417 JT,1417,0.029162
TPX Index,1419 JT,1419,0.003665
TPX Index,1420 JT,1420,0.00075
TPX Index,1429 JT,1429,0.000502
TPX Index,1430 JT,1430,0.001705
TPX Index,1433 JT,1433,0.001236
TPX Index,1435 JT,1435,0.004593
TPX Index,1514 JT,1514,0.001664
TPX Index,1515 JT,1515,0.006588
TPX Index,1518 JT,1518,0.004154
TPX Index,1605 JT,1605,0.301315
TPX Index,1662 JT,1662,0.018019
TPX Index,1663 JT,1663,0.004544
TPX Index,1712 JT,1712,0.000887
TPX Index,1716 JT,1716,0.00132
TPX Index,1719 JT,1719,0.030851
TPX Index,1720 JT,1720,0.018194
TPX Index,1721 JT,1721,0.055563
TPX Index,1722 JT,1722,0.003226
TPX Index,1726 JT,1726,0.00199
TPX Index,1762 JT,1762,0.008946
TPX Index,1766 JT,1766,0.012069
TPX Index,1768 JT,1768,0.000457
TPX Index,1780 JT,1780,0.001812
TPX Index,1801 JT,1801,0.223702
TPX Index,1802 JT,1802,0.140071
TPX Index,1803 JT,1803,0.137738
TPX Index,1805 JT,1805,0.007522
