Date,Open,High,Low,Close,Volume
1995-01-06,751.31,751.31,740.47,749.69,287382508
1995-01-13,750.19,762.32,750.1,762.16,391495012
1995-01-20,762.3,774.31,759.32,762.05,415257488
1995-01-27,759.32,763.34,753.81,758.91,373072496
1995-02-03,759.63,773.94,751.05,772.06,386234996
1995-02-10,772.82,790.82,772.82,790.43,427417496
1995-02-17,789.7,796.02,786.83,786.97,416600000
1995-02-24,787.73,794.5,783.51,791.08,312585000
1995-03-03,789.55,798.8,783.73,798.79,385762512
1995-03-10,796.53,802.22,790.35,802.22,391202508
1995-03-17,802.22,811.23,801.37,808.33,404812512
1995-03-24,808.35,818.67,806.7,818.66,420595000
1995-03-31,817.88,829.92,806.5,817.21,446755000
1995-04-07,816.06,820.48,810.89,814.69,417057496
1995-04-14,814.44,832.9,813.9,832.64,340395000
1995-04-21,835.15,839.5,812.75,823.44,500227504
1995-04-28,823.25,844.42,821.53,843.98,469995000
1995-05-05,844.72,856.79,839.43,843.53,453962488
1995-05-12,843.48,859.88,842.76,858.94,469305008
1995-05-19,859.74,874.51,857.98,864.57,465405008
1995-05-26,865.57,885.92,865.42,871.87,470637496
1995-06-02,872.77,875.12,851.72,872.97,350725000
1995-06-09,875.25,886.3,875.25,884.38,474857504
1995-06-16,885.55,908.65,885.55,908.65,498169992
1995-06-23,909.9,941.17,909.84,938.87,557027496
1995-06-30,938.33,939.14,913.02,933.45,492132496
1995-07-07,933.99,969.77,931.99,969.76,359707500
1995-07-14,970.41,999.59,970.11,999.33,594810008
1995-07-21,1000.73,1007.18,936.97,961.77,624375000
1995-07-28,964.12,1011.84,964.12,1005.28,588749992
1995-08-04,1006.43,1023.03,970.81,991.09,534744992
1995-08-11,992.78,1007.04,992.78,1004.11,517657496
1995-08-18,1004.19,1034.13,1003.35,1031.28,558790000
1995-08-25,1033.02,1035.19,1016.39,1019.97,541910000
1995-09-01,1020.7,1021.49,989.48,1019.47,484635000
1995-09-08,1021.73,1060.04,1021.73,1060.03,451377496
1995-09-15,1060.47,1070.23,1047.7,1051.1,603374992
1995-09-22,1052,1066.95,1041.68,1053.39,574302496
1995-09-29,1053.53,1053.91,1008.44,1043.54,543717504
1995-10-06,1041.39,1043.04,1000.03,1012.04,535680000
1995-10-13,1006.81,1024.32,959.36,1018.38,559442496
1995-10-20,1018.33,1050.65,1016.51,1039.53,551017504
1995-10-27,1035.28,1042.13,1007.44,1025.55,547420000
1995-11-03,1028.17,1065.66,1028.17,1065.66,568692504
1995-11-10,1065.63,1068.81,1038.63,1063.87,584507512
1995-11-17,1063.21,1065.78,1033.21,1045.03,568255000
1995-11-24,1048.07,1049.89,1016.58,1030.17,382770008
1995-12-01,1034,1061.88,1029.07,1055.31,627185000
1995-12-08,1057.95,1074.85,1048.27,1062.41,646805008
1995-12-15,1064.68,1065.73,1028.22,1030.48,629817496
1995-12-22,1029.12,1046.89,1001.53,1046.89,665564992
1995-12-29,1047.56,1052.18,1039.56,1052.13,427167504
1996-01-05,1052.83,1058.92,1017.69,1033.47,521067496
1996-01-12,1034.94,1035.62,987.98,1008.23,572600012
1996-01-19,1009.96,1019.52,977.79,1018.45,676519992
1996-01-26,1019.72,1046,1019.14,1040.96,676930000
1996-02-02,1042.53,1076.32,1039.87,1072.11,670517512
1996-02-09,1072.95,1098.85,1070.8,1094.6,705599984
1996-02-16,1094.84,1098.94,1079.94,1090.71,622154992
1996-02-23,1085.52,1121.89,1080.03,1117.79,542537488
1996-03-01,1116.53,1119.1,1082.97,1086.08,663025000
1996-03-08,1088.91,1099.07,1057.87,1063.73,647955000
1996-03-15,1065,1099.66,1064.64,1099.59,606712504
1996-03-22,1102.78,1119.84,1096.23,1102.22,630965008
1996-03-29,1104.31,1107.09,1079.9,1101.4,629787504
1996-04-05,1105.77,1119.35,1102.94,1118.21,497427504
1996-04-12,1106.32,1117.69,1092.44,1100.94,663435008
1996-04-19,1102.8,1143.31,1102.69,1138.7,706005000
1996-04-26,1143.08,1188.89,1143.08,1186.89,831372512
1996-05-03,1186.67,1200.19,1178.24,1184.6,791302512
1996-05-10,1186.83,1202.78,1163.21,1202.76,871324992
1996-05-17,1204.33,1243.3,1204.03,1241.88,806267504
1996-05-24,1246,1252.81,1240.79,1247.8,835460000
1996-05-31,1249.6,1251.23,1222.95,1243.43,622987488
1996-06-07,1242.54,1254.12,1206.53,1229.76,773922480
1996-06-14,1231.5,1240.78,1213.18,1213.18,662275024
1996-06-21,1215.3,1217.13,1152.79,1175.44,720015008
