Date,Open,High,Low,Close
1970-01-02,199.8,199.9,194.7,196.5
1970-01-09,198.7,201.5,196.5,196.7
1970-01-16,195.7,204.4,194.1,203.3
1970-01-23,206.8,206.9,202.5,205.3
1970-01-30,206.3,207.5,201.6,203.7
1970-02-06,203,206.5,202,206.3
1970-02-13,206.3,207,199.8,203.4
1970-02-20,202,202.8,198.1,200.9
1970-02-27,200.4,202.9,198.7,201.1
1970-03-06,201.9,203.6,199,200.8
1970-03-13,199.8,199.8,196.1,197.4
1970-03-20,197.2,198.3,195,196.9
1970-03-27,196.2,200,195.2,198.2
1970-04-03,197.8,199.3,197.3,197.6
1970-04-10,197,197.1,191.6,193.1
1970-04-17,193.8,194.9,192.2,194
1970-04-24,194.2,195.2,191.7,192
1970-05-01,190.8,191,170,177.1
1970-05-08,177.5,177.7,167,176.9
1970-05-15,179.3,180.4,170.8,174.1
1970-05-22,173.6,175,163.9,165.4
1970-05-29,164,166,155.2,163.8
1970-06-05,165.3,171.5,162,167.6
1970-06-12,167.1,171,164.8,165.8
1970-06-19,165.3,170.6,165.1,169.6
1970-06-26,167.8,169.1,163.2,164.4
1970-07-03,163.8,166.3,162.8,164.6
1970-07-10,164.3,164.4,159.9,163.7
1970-07-17,163.8,175.4,163.5,174.8
1970-07-24,177,181.1,177,177.7
1970-07-31,179.2,185,178.8,183
1970-08-07,184.3,184.5,177.1,182.8
1970-08-14,180.7,188.3,177.2,186.8
1970-08-21,187.8,191.9,186.4,188
1970-08-28,190.1,192.8,187.1,189
1970-09-04,189.2,190.3,184.6,189
1970-09-11,188.2,191.3,187,187
1970-09-18,186.9,187.5,178.8,179.8
1970-09-25,180.3,182,176.4,177.5
1970-10-02,178,179,168.5,178.5
1970-10-09,173.7,178.4,170.9,176.6
1970-10-16,174,181.4,174,179.6
1970-10-23,178.8,183.9,176.3,183.6
1970-10-30,185.2,187.5,183.3,185.6
1970-11-06,186.5,188.3,182.6,182.9
1970-11-13,183.9,187.6,180,182
1970-11-20,181.6,183.9,176.9,179.3
1970-11-27,179.5,179.5,167.1,168.1
1970-12-04,168.3,169.5,160,168.2
1970-12-11,164.5,167.4,158.1,165.2
1970-12-18,165.7,168.5,162.5,166.8
1970-12-25,168.2,170.4,165.2,166.2
1971-01-01,166.2,167.8,163.1,166
1971-01-08,167.4,173.4,166.3,172.8
1971-01-15,174.2,174.4,168.1,168.2
1971-01-22,164,164.2,154.1,158.1
1971-01-29,159,162.2,156.3,159.6
1971-02-05,159.9,168.3,159.2,167.6
1971-02-12,167.8,168.4,163.3,165.7
1971-02-19,165.5,166.3,163.5,165.4
1971-02-26,165.1,165.5,161.7,164.6
1971-03-05,166.5,169.8,165.4,168.5
1971-03-12,172.4,173.3,168.1,169
1971-03-19,169.5,173,169.4,169.7
1971-03-26,170.5,174.1,168.5,173
1971-04-02,172.9,179.3,171.5,179.2
1971-04-09,177.2,181.5,175.3,179.9
1971-04-16,180.2,180.2,174,174.1
1971-04-23,175.7,180.4,175.5,175.8
1971-04-30,176,176,171.2,172.6
1971-05-07,172.2,178.9,168.5,173.3
1971-05-14,171.8,175.3,169.8,172.6
1971-05-21,172.8,173.7,165.3,165.5
1971-05-28,164,167.8,163,166
1971-06-04,165.2,165.4,160.5,162.7
1971-06-11,162.4,166.4,161.5,166
1971-06-18,165.8,167.3,164,165.3
1971-06-25,161,164,160.1,163
1971-07-02,162.2,162.3,157,161
1971-07-09,161,162.8,160.3,161.9
1971-07-16,161.2,161.4,156,158.8
1971-07-23,157.5,158.7,155.2,158.1
1971-07-30,157.5,164.9,156.7,162.7
1971-08-06,162.5,169.5,162.4,164.2
1971-08-13,165.8,167.4,162,166.8
1971-08-20,163.8,167.8,162.3,167.5
1971-08-27,166.5,166.8,156.3,156.3
1971-09-03,159.2,159.2,150.1,154.7
1971-09-10,149.8,150.8,143.2,143.5
1971-09-17,142.8,147.6,141.7,146.7
1971-09-24,146.8,148.2,144.9,146.2
1971-10-01,144.9,145.3,143.2,144
1971-10-08,143.4,143.5,135.5,135.9
1971-10-15,136.2,138.1,133.8,137.5
1971-10-22,138.6,139.1,132.8,135
1971-10-29,135.7,136.7,131,133
1971-11-05,132.8,134,130.5,133.8
1971-11-12,133.7,136.4,132.9,135.2
1971-11-19,134.8,136.7,133.7,134.6
1971-11-26,134,135.9,132.5,135.9
1971-12-03,136.6,141,135.6,140.7
1971-12-10,142.7,143.9,139.6,143.4
1971-12-17,143,145.4,140.7,144.4
1971-12-24,144.5,145.9,141.2,142
1971-12-31,141.5,141.6,136.5,138.4
1972-01-07,139.3,147.9,138.7,147.1
1972-01-14,146.5,150.6,145.8,150.2
1972-01-21,151.8,156.1,147.7,148.7
1972-01-28,153.2,158.1,149.3,156.8
1972-02-04,155.3,159.4,154.5,155.9
1972-02-11,157.6,157.8,152.2,152.6
1972-02-18,152.3,153.6,149.9,153
1972-02-25,152.7,153.1,147,148.7
1972-03-03,149.1,154.9,147.9,154.9
1972-03-10,155.5,159,154.5,156.6
1972-03-17,156.7,157.9,153,155.3
1972-03-24,154.8,158.9,154.5,155.7
1972-03-31,155.4,161.5,155.3,161.4
1972-04-07,161.9,162.9,159.7,161.4
1972-04-14,161.6,161.6,154.5,155.9
1972-04-21,158.6,160.3,156.1,159.7
1972-04-28,158.7,162.5,155.7,162.5
1972-05-05,163.5,163.9,160.8,161.5
1972-05-12,161.7,163.2,159.8,160.7
1972-05-19,160.8,162.9,159.7,161.5
1972-05-26,161.1,161.3,156.4,158.2
1972-06-02,158.6,158.6,154.7,157.2
1972-06-09,156.6,160.4,156,159.1
1972-06-16,158.1,161.7,157.7,160
1972-06-23,161.3,161.9,155.9,157.9
1972-06-30,158.8,159.1,156.4,158
1972-07-07,157.6,171.9,157.6,171.3
1972-07-14,173.7,183.3,171.2,178.9
1972-07-21,179.7,185,177.1,178.9
1972-07-28,179.9,188.9,178.1,185.7
1972-08-04,186.4,189.5,183.5,185.7
1972-08-11,185,187.5,181.6,183.6
1972-08-18,182.7,188.8,182.3,187.8
1972-08-25,188,197.7,187.1,190.5
1972-09-01,193.1,195.2,190.8,192.6
1972-09-08,197,197.4,188.1,188.3
1972-09-15,185.8,186.8,179,179.6
1972-09-22,174.3,177.4,168.6,175.3
1972-09-29,172.3,180.7,170.2,178.9
1972-10-06,179.6,185.9,179.5,184.1
1972-10-13,185.8,186.3,180,184.2
1972-10-20,184.8,189.9,183.2,189.4
1972-10-27,189,191.4,184,187.3
1972-11-03,186,191,183.7,190.7
1972-11-10,191.3,191.9,182.8,186.2
1972-11-17,186.4,186.4,181.8,181.8
1972-11-24,181.2,186.1,181.2,184.3
1972-12-01,184.8,193.5,183.1,193.2
1972-12-08,192.9,198.2,190.5,197.5
1972-12-15,200.8,203,196.5,201.9
1972-12-22,199.5,205.9,194.7,204.4
1972-12-29,205.8,206.6,202.2,204.7
1973-01-05,205.5,207.7,200,202.4
1973-01-12,200.7,205.2,199.5,205
1973-01-19,206,207.7,200.8,204.9
1973-01-26,203,203.7,199.4,201.2
1973-02-02,202.5,210,202,207.7
1973-02-09,208.1,222.5,207.4,217.9
1973-02-16,222.4,233.4,221.2,227.1
1973-02-23,228.1,249.7,227.8,245.2
1973-03-02,241.5,274,240,264
1973-03-09,254,254,238,240.1
1973-03-16,236.7,236.7,220.1,227.2
1973-03-23,223.5,234.7,220.3,230
1973-03-30,237,237.5,220.5,223.6
1973-04-06,221.8,230.1,221,225.3
1973-04-13,223.5,232.1,223.3,226.5
1973-04-20,225.6,227.4,209.2,217.6
1973-04-27,217.2,220.3,211.3,219.8
1973-05-04,220.5,226,211,224
1973-05-11,225.3,245.5,223.9,238.7
1973-05-18,246,265.3,237.1,248.4
1973-05-25,262.8,264,241,253.9
1973-06-01,267.9,279.8,257.2,278.4
1973-06-08,283,288.4,261,264.9
1973-06-15,263.6,272.7,255.5,272.6
1973-06-22,279.5,280,267,277.1
1973-06-29,274.5,284.8,273.8,280.7
1973-07-06,280.3,299.1,278.5,294.4
1973-07-13,294.5,296.5,277.3,292.3
1973-07-20,295,307.9,293.7,303.8
1973-07-27,310.3,318.2,297.7,297.9
1973-08-03,287.9,312.7,287.9,304.1
1973-08-10,298.3,302.3,277.6,281.8
1973-08-17,276.4,285.5,265,276.9
1973-08-24,282.5,286.1,266.5,275.2
1973-08-31,275.7,283.4,265,275.5
1973-09-07,276.7,278.5,267.1,270.4
1973-09-14,273,273,260.4,266.5
1973-09-21,270.5,289.5,269,286.8
1973-09-28,285.6,294.9,282,287
1973-10-05,282.6,289.2,279.1,284.6
1973-10-12,289.9,303.4,288.2,303
1973-10-19,303.6,312,296.6,297
1973-10-26,300,304,292.6,296.1
1973-11-02,291.7,298.5,286.8,297.2
